공고번호,기준년도,공고명,사업명,전문기관명,접수시작일,접수마감일,세부사업명
2018019,2018,2018년도 임업기술연구개발(RnD)사업 제2차 최종평가 ,임업기술연구개발(R&D),한국임업진흥원,2018-05-21,2018-07-04,임업기술연구개발(R&D)
2019008,2019,2019년도 산림과학기술 연구개발사업 제1차 통합 최종평가 계획(안) 알림,신기후체제 대응 연구(R&D),한국임업진흥원,2018-12-11,2019-02-07,신기후체제 대응 연구(R&D)
2020023,2020,2020년도 융복합기반의 임산업의 신산업화 기술개발사업 최종평가 계획 알림 ,융복합기반의 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2019-12-10,2020-02-11,융복합기반의 임산업의 신산업화 기술개발(R&D)
2020024,2020,목재자원의 고부가가치 첨단회 기술개발사업 2020년도 신규과제 선정계획 2차 공고,목재자원의 고부가가치 첨단화 기술개발(R&D),한국임업진흥원,2020-01-15,2020-01-29,목재자원의 고부가가치 첨단화 기술개발(R&D)
2020025,2020,산림과학기술 실용화 지원 사업 2020년도 신규과제 선정계획 2차 공고,산림과학기술 실용화 지원사업(R&D),한국임업진흥원,2020-01-15,2020-01-29,산림과학기술 실용화 지원사업(R&D)
2018016,2018,2018년도 임업기술연구개발(RnD)사업 제1차 최종평가,융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2018-04-02,2018-05-02,융복합기반 임산업의 신산업화 기술개발(R&D)
2018017,2018,2018년도 융복합기반 임산업의 신산업화 기술개발사업 제1차 최종평가,융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2018-04-02,2018-05-02,융복합기반 임산업의 신산업화 기술개발(R&D)
2018018,2018,2018년도 임업기술연구개발(RnD)사업 제1차 최종평가,임업기술연구개발(R&D),한국임업진흥원,2018-04-02,2018-05-02,임업기술연구개발(R&D)
2018022,2018,2018년도 산림과학기술 연구개발사업 기획연구과제 2차 지정공모 공고 ,융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2018-11-15,2018-12-14,융복합기반 임산업의 신산업화 기술개발(R&D)
2019013,2019,2019년도 산림과학기술 연구개발사업 제2차 통합 최종평가 계획(안) 알림,융복합기반의 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2019-03-13,2019-05-02,융복합기반의 임산업의 신산업화 기술개발(R&D)
2019015,2019,2019년도 산림과학기술 연구개발사업 제4차 통합 최종평가 계획(안) 알림,임업기술연구개발(R&D),한국임업진흥원,2019-04-30,2019-06-13,임업기술연구개발(R&D)
2018008,2018,2018년도 융복합기반 임산업의 신산업화 기술개발(RnD)사업 제3차 통합 중간평가 실시 계획 공고 ,융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2018-02-01,2018-02-12,융복합기반 임산업의 신산업화 기술개발(R&D)
2018009,2018,2018년도 임업기술연구개발(RnD)사업 제3차 통합 중간평가 실시 계획 공고,임업기술연구개발(R&D),한국임업진흥원,2018-02-01,2018-02-12,임업기술연구개발(R&D)
2018013,2018,융복합기반 임산업의 신산업화 기술개발’사업 2018년도 신규과제 선정계획 공고 (대학(원)생 창의도전 아이디어 지원과제),융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2018-02-19,2018-03-12,융복합기반 임산업의 신산업화 기술개발(R&D)
2018014,2018,2018년도 신기후체제 대응 연구(RnD)사업 제1차 통합 중간평가 실시(시설장비심의회),신기후체제 대응 연구(R&D),한국임업진흥원,2018-02-27,2018-03-05,신기후체제 대응 연구(R&D)
2019009,2019,'대학원생 창의도전 아이디어 지원 연구'사업 2019년도 신규과제 선정계획 공고,대학원생 창의도전 아이디어 지원 연구,한국임업진흥원,2019-02-08,2019-03-11,대학원생 창의도전 아이디어 지원 연구
2019010,2019,'융복합기반 임산업의 신산업화 기술개발'사업 2019년도 신규과제 선정계획 공고,융복합기반의 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2019-02-08,2019-03-11,융복합기반의 임산업의 신산업화 기술개발(R&D)
2019011,2019,'산림산업 첨단융합기술 전문인력 양성사업' 2019년도 신규과제 선정계획 공고,임산업 첨단융합기술 전문인력 양성(R&D),한국임업진흥원,2019-02-08,2019-03-11,임산업 첨단융합기술 전문인력 양성(R&D)
2019012,2019,'미세먼지 국민 아이디어 RnD'사업 2019년도 신규과제 선정계획 공고,미세먼지 국민 아이디어 R&D(미세먼지 대응 도시숲 연구(R&D)),한국임업진흥원,2019-02-08,2019-03-12,미세먼지 국민 아이디어 R&D(미세먼지 대응 도시숲 연구(R&D))
2020002,2020,‘목재자원의 고부가가치 첨단화 기술개발’사업 2020년도 신규과제 선정계획 공고  ,목재자원의 고부가가치 첨단화 기술개발(R&D),한국임업진흥원,2019-11-11,2019-12-09,목재자원의 고부가가치 첨단화 기술개발(R&D)
2017044,2017,산림과학기술 연구개발사업 2017년도 기획연구과제 지정공모 2차 재공고,임업기술연구개발(R&D),한국임업진흥원,2017-11-16,2017-11-30,임업기술연구개발(R&D)
2018015,2018,'융복합기반 임산업의 신산업화 기술개발’사업 2018년도 2차 신규과제 선정계획 공고,융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2018-03-26,2018-04-24,융복합기반 임산업의 신산업화 기술개발(R&D)
2020003,2020,‘산림과학기술 실용화 지원’사업 2020년도 신규과제 선정계획 변경 공고 ,산림과학기술 실용화 지원사업(R&D),한국임업진흥원,2019-11-11,2019-12-09,산림과학기술 실용화 지원사업(R&D)
2020004,2020,‘신기후체제 대응 연구’사업 2020년도 신규과제 선정계획 공고,신기후체제 대응 연구(R&D),한국임업진흥원,2019-11-11,2019-12-09,신기후체제 대응 연구(R&D)
2020005,2020,‘산림융복합 전문인력 양성 (산림산업 특화 연구지원)’사업 2020년도 신규과제 선정계획 공고 ,산림융복합 전문인력 양성사업(R&D),한국임업진흥원,2019-11-11,2019-12-09,산림융복합 전문인력 양성사업(R&D)
2020006,2020,산림생명자원 소재 발굴 연구’사업 2020년도 신규과제 선정계획 공고 ,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2019-11-11,2019-12-09,산림생명자원 소재 발굴연구(R&D)
2020007,2020,산림생명자원 소재 발굴 연구’사업 2020년도 신규과제 선정계획 공고 ,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2019-11-11,2019-12-09,산림생명자원 소재 발굴연구(R&D)
2020008,2020,산림생명자원 소재 발굴 연구’사업 2020년도 신규과제 선정계획 공고 ,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2019-11-11,2019-12-09,산림생명자원 소재 발굴연구(R&D)
2020009,2020,산림생명자원 소재 발굴 연구’사업 2020년도 신규과제 선정계획 공고 ,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2019-11-11,2019-12-09,산림생명자원 소재 발굴연구(R&D)
2017040,2017,산림과학기술 연구개발사업 '17년도 기획연구과제 지정공모 재공고,임업기술연구개발(R&D),한국임업진흥원,2017-11-01,2017-11-14,임업기술연구개발(R&D)
2017041,2017,2018년도 융복합기반 임산업의 신산업화 기술개발(RnD)사업 제1차 통합 중간평가 실시 계획 공고,융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2017-11-02,2017-11-16,융복합기반 임산업의 신산업화 기술개발(R&D)
2017042,2017,2018년도 임업기술연구개발(RnD)사업 제1차 통합 중간평가 실시 계획 공고,임업기술연구개발(R&D),한국임업진흥원,2017-11-02,2017-11-16,임업기술연구개발(R&D)
2018001,2018,2018년도 임업기술연구개발(RnD)사업 제1차 통합 중간평가 실시 계획 공고,임업기술연구개발(R&D),한국임업진흥원,2017-11-02,2017-11-16,임업기술연구개발(R&D)
2018002,2018,2018년도 융복합기반 임산업의 신산업화 기술개발(RnD)사업 제1차 통합 중간평가 실시 계획 공고 ,융복합기반 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2017-11-02,2018-01-01,융복합기반 임산업의 신산업화 기술개발(R&D)
2018003,2018,2018년도 산림생명자원 소재 발굴 연구(RnD)사업 제1차 통합 중간평가 실시 계획 공고,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2017-11-02,2017-11-16,산림생명자원 소재 발굴연구(R&D)
2018004,2018,2018년도 신기후체제 대응 연구(RnD)사업 제1차 통합 중간평가 실시 계획 공고  ,신기후체제 대응 연구(R&D),한국임업진흥원,2017-11-02,2017-11-16,신기후체제 대응 연구(R&D)
2018005,2018,2018년도 생물다양성 위협 외래생물 관리 기술개발(RnD)사업 제1차 통합 중간평가 실시 계획 공고 ,생물다양성위협 외래생물관리 기술개발사업(산림청),한국임업진흥원,2017-11-02,2017-11-16,생물다양성위협 외래생물관리 기술개발사업(산림청)
2020035,2020,2020년도 산림과학기술 실용화 지원사업 최종평가 공고(수정),산림과학기술 실용화 지원사업(R&D),한국임업진흥원,2020-09-30,2020-11-06,산림과학기술 실용화 지원사업(R&D)
2020043,2020,2021년도 대학(원)생 창의도전 아이디어 연구 최종평가,산림융복합 전문인력 양성(대학(원)생 창의도전 아이디어 연구지원),한국임업진흥원,2021-03-15,2021-03-19,산림융복합 전문인력 양성(대학(원)생 창의도전 아이디어 연구지원)
2021026,2021,2021년도 제2차 융복합기반의 임산업의 신산업화 기술개발(R&D)사업 최종평가(1과제),융복합기반의 임산업의 신산업화 기술개발(R&D) ,한국임업진흥원,2021-03-01,2021-03-31,융복합기반의 임산업의 신산업화 기술개발(R&D) 
2021027,2021,2021년도 제3차 융복합기반의 임산업의 신산업화 기술개발(R&D)사업 최종평가 ,융복합기반의 임산업의 신산업화 기술개발(R&D) ,한국임업진흥원,2021-03-26,2021-06-02,융복합기반의 임산업의 신산업화 기술개발(R&D) 
2020028,2020,2020년도 산림과학기술 연구개발사업[산림생명자원 소재 발굴 연구] 제2차 최종평가,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2020-03-06,2020-04-13,산림생명자원 소재 발굴연구(R&D)
2020029,2020,2020년도 산림과학기술 연구개발사업[신기후체제 대응 연구] 최종평가  ,신기후체제 대응 연구(R&D),한국임업진흥원,2020-03-06,2020-04-10,신기후체제 대응 연구(R&D)
2021001,2021,‘미이용 산림바이오매스의 고효율 활용’사업 2021년도 신규과제 선정계획 공고 ,목재자원의 고부가가치 첨단화 기술개발(R&D) ,한국임업진흥원,2020-09-29,2020-10-28,목재자원의 고부가가치 첨단화 기술개발(R&D) 
2021002,2021,산림과학기술 실용화 지원 사업 2021년도 신규과제 선정계획 공고,산림과학기술 실용화 지원사업(R&D),한국임업진흥원,2020-09-29,2020-10-28,산림과학기술 실용화 지원사업(R&D)
2021006,2021,‘스마트 산림경영 혁신성장 기술개발’사업 2021년도 신규과제 선정계획 공고,스마트 산림경영 혁신성장 기술개발(R&D),한국임업진흥원,2020-09-29,2020-10-28,스마트 산림경영 혁신성장 기술개발(R&D)
2021007,2021,[산림융복합 전문인력 양성-산림연구인력 교육훈련사업-]2021년도 신규과제 선정계획,산림융복합 전문인력 양성사업_RnD,한국임업진흥원,2020-09-29,2020-10-28,산림융복합 전문인력 양성사업_RnD
2021022,2021,2021년도 제2차 &#39;농림해양기반 스마트 헬스케어 기술개발 및 확산&#39;사업 신규과제 선정계획,농림해양기반 스마트 헬스케어 기술개발 및 확산(RnD),한국임업진흥원,2021-01-14,2021-01-21,농림해양기반 스마트 헬스케어 기술개발 및 확산(RnD)
2020030,2020,2020년도 산림과학기술 연구개발사업[대학원생 창의도전 아이디어 지원] 최종평가,산림융복합 전문인력 양성(대학(원)생 창의도전 아이디어 연구지원),한국임업진흥원,2020-04-20,2020-04-27,산림융복합 전문인력 양성(대학(원)생 창의도전 아이디어 연구지원)
2021017,2021,‘20년도 산림과학기술 연구개발사업(생물다양성 위협 외래생물 관리기술 R&D) 중간평가,생물다양성 외래생물 관리 기술개발,한국임업진흥원,2020-10-27,2020-11-13,생물다양성 외래생물 관리 기술개발
2021019,2021,2021년도 신기후체제 대응 연구(R&D)사업 최종평가,신기후체제 대응 연구(R&D),한국임업진흥원,2020-11-30,2021-01-19,신기후체제 대응 연구(R&D)
2020033,2020,‘20년도 산림과학기술 연구개발사업(미세먼지 국민 아이디어 R&D) 중간평가,생물다양성 외래생물 관리 기술개발,한국임업진흥원,2020-10-27,2020-11-13,생물다양성 외래생물 관리 기술개발
2020034,2020,2020년도 임업기술연구개발(R&D)사업 최종평가,임업기술연구개발(R&D),한국임업진흥원,2020-10-29,2020-12-17,임업기술연구개발(R&D)
2020040,2020,2020년도 대학(원)생 창의도전 아이디어(R&D)사업 최종평가(1개 과제),산림융복합 전문인력 양성(대학(원)생 창의도전 아이디어 연구지원),한국임업진흥원,2020-12-17,2020-12-20,산림융복합 전문인력 양성(대학(원)생 창의도전 아이디어 연구지원)
2021024,2021,산림과학기술 실용화 지원 사업 2021년도 신규과제 추가 선정계획 공고,산림과학기술 실용화 지원사업(R&D),한국임업진흥원,2021-01-22,2021-01-29,산림과학기술 실용화 지원사업(R&D)
2021025,2021,2021년도 대학(원)생 창의도전 아이디어 연구 최종평가,산림융복합 전문인력 양성사업(RnD),한국임업진흥원,2021-03-15,2021-03-19,산림융복합 전문인력 양성사업(RnD)
2020042,2020,2020년도 대학(원)생 창의도전 아이디어 연구 최종평가(29개 과제),산림융복합 전문인력 양성(대학(원)생 창의도전 아이디어 연구지원),한국임업진흥원,2021-03-15,2021-03-21,산림융복합 전문인력 양성(대학(원)생 창의도전 아이디어 연구지원)
2020031,2020,2020년도 융복합기반의 임산업의 신산업화 기술개발사업 최종평가 계획 알림 ,융복합기반의 임산업의 신산업화 기술개발(R&D),한국임업진흥원,2020-08-19,2020-09-14,융복합기반의 임산업의 신산업화 기술개발(R&D)
2021008,2021,‘산림융복합 전문인력 양성[대학(원)생 창의도전 아이디어 연구지원]’ 2021년도 신규과제 선정계획 공고,산림융복합 전문인력 양성사업_RnD,한국임업진흥원,2020-09-29,2020-10-28,산림융복합 전문인력 양성사업_RnD
2021009,2021,산림융복합 전문인력 양성(산림연구인력 교육훈련)사업 2021년도 신규과제 선정계획 공고,산림융복합 전문인력 양성사업_RnD,한국임업진흥원,2020-09-29,2020-10-28,산림융복합 전문인력 양성사업_RnD
2021016,2021,‘20년도 산림과학기술 연구개발사업(미세먼지 국민 아이디어 R&D) 중간평가 ,미세먼지 국민 아이디어 R&D사업,한국임업진흥원,2020-10-27,2020-11-13,미세먼지 국민 아이디어 R&D사업
2021020,2021,2021년도 융복합기반의 임산업의 신산업화 기술개발(R&D)사업 최종평가 ,융복합기반의 임산업의 신산업화 기술개발(R&D) ,한국임업진흥원,2020-12-09,2021-01-29,융복합기반의 임산업의 신산업화 기술개발(R&D) 
2021023,2021,해양수산부 - 2021년 &#39;농림해양기반 스마트 헬스케어 기술개발 및 확산&#39; 사업 신규과제 공고,농림해양기반 스마트 헬스케어 기술개발 및 확산,한국임업진흥원,2021-01-14,2021-02-16,농림해양기반 스마트 헬스케어 기술개발 및 확산
2020027,2020,2020년도 산림과학기술 실용화 과제 컨설팅 지원사업 공고,산림과학기술 실용화 지원사업(R&D),한국임업진흥원,2020-02-18,2020-02-27,산림과학기술 실용화 지원사업(R&D)
2021010,2021,"2020년도 산림과학기술 연구개발사업(산림융복합 전문인력 양성-산림연구인력 교육훈련, 산림산업특화 연구지원) 통합 중간평가 실시",산림융복합 전문인력 양성사업_RnD,한국임업진흥원,2020-10-21,2020-11-11,산림융복합 전문인력 양성사업_RnD
2021011,2021,2020년도 산림과학기술 연구개발사업(산림생명자원 소재 발굴 연구(RnD)사업) 통합 중간평가 실시,산림생명자원 소재 발굴연구(R&D),한국임업진흥원,2020-10-21,2020-11-11,산림생명자원 소재 발굴연구(R&D)
2021012,2021,2020년도 산림과학기술 연구개발사업(신기후체제 대응 연구(RnD)사업) 통합 중간평가 실시,신기후체제 대응 연구(R&D),한국임업진흥원,2020-10-21,2020-11-11,신기후체제 대응 연구(R&D)
2021013,2021,‘20년도 산림과학기술 연구개발사업(임업기술연구개발) 중간평가,임업기술연구개발(R&D),한국임업진흥원,2020-10-21,2020-11-13,임업기술연구개발(R&D)
2021014,2021,‘20년도 산림과학기술 연구개발사업(융복합기반의 임산업의 신산업화 기술개발) 중간평가,융복합기반의 임산업의 신산업화 기술개발(R&D) ,한국임업진흥원,2020-10-21,2020-11-13,융복합기반의 임산업의 신산업화 기술개발(R&D) 
2021015,2021,‘20년도 산림과학기술 연구개발사업(목재자원의 고부가가치 첨단화 기술 개발) 중간평가,목재자원의 고부가가치 첨단화 기술개발(R&D) ,한국임업진흥원,2020-10-21,2020-11-13,목재자원의 고부가가치 첨단화 기술개발(R&D) 
2020039,2020,2020년도 대학(원)생 창의도전 아이디어(R&D)사업 최종평가,산림융복합 전문인력 양성사업(R&D),한국임업진흥원,2020-12-17,2020-12-20,산림융복합 전문인력 양성사업(R&D)
2019019,2019,2020년도 산림과학기술 연구개발사업[대학원생 창의도전 아이디어 지원] 최종평가 ,대학원생 창의도전 아이디어 지원 연구,한국임업진흥원,2020-04-01,2020-04-27,대학원생 창의도전 아이디어 지원 연구
2019020,2019,2020년도 산림과학기술 연구개발사업[대학원생 창의도전 아이디어 지원] 최종평가,대학원생 창의도전 아이디어 지원 연구,한국임업진흥원,2020-04-21,2020-04-27,대학원생 창의도전 아이디어 지원 연구
